Empresa;CUIT;Expte;Calle;Nro;Piso;Dpto;CPA;Localidad;Provincia;Telefono;RegComercializacion;RegFabricacion;Dispo;FechaDispo;Vence
ADB BROADBAND ARGENTINA S.A.;33-64328360-9;EXPCNC 5693/2008;TACUARI;131;6;L   ;1071;CABA;CIUDAD DE BUENOS AIRES;(011  )5272-1159;30-2065;0;517 GI/2015;13/02/2015;13/02/2018
ADEMA S.A.;30-63949672-0;EXPCNC E 9095/2000;BELGRANO GRAL MANUEL;2890;          ;    ;B1611DVU;DON TORCUATO;BUENOS AIRES;(011  )4727-0287;30-732;02-231;347 GI/2013;13/02/2013;13/02/2016
ADEMA S.A.;30-63949672-0;EXPCNC E 9095/2000;PAROISSIEN DIEGO;2236;2;    ;C1429CXH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4703-3199;30-732;02-231;347 GI/2013;13/02/2013;13/02/2016
ADEMCO S.R.L.;30-71602651-1;EX- -APN-SDYME#ENACOM 110235711/2019;CARLOS PELLEGRINI;179;9;    ;1009;CABA;CIUDAD DE BUENOS AIRES;;30-2576;0;48 APN-DNAYRT#ENACOM/2020;13/01/2020;13/01/2023
ADIDAS ARGENTINA S.A.;30-68514022-1;EXPCNC 1084/2013;RECONQUISTA;360;6;    ;C1003ABH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4853-7159;30-1900;0;665 GI/2013;26/02/2013;26/02/2016
ADIDAS ARGENTINA S.A.;30-68514022-1;EXPCNC 1084/2013;VON WERNICKE;3023;          ;    ;B1642GKA;SAN ISIDRO;BUENOS AIRES;(011  )4853-7159;30-1900;0;665 GI/2013;26/02/2013;26/02/2016
ADRONSTEC S.A.;30-71479234-9;EXPENACOM 14055/2016;MONTEAGUDO;1514;          ;    ;B1640BWP;MARTINEZ;BUENOS AIRES;(011  )4792-7219;30-2268;0;9379 -E-APN-ENACOM#MCO/2016;21/12/2016;21/12/2019
ADRONSTEC S.A.;30-71479234-9;EXPENACOM 14055/2016;TALCAHUANO;325;3;F   ;C1013AAG;CABA;CIUDAD DE BUENOS AIRES;;30-2268;0;9379 -E-APN-ENACOM#MCO/2016;21/12/2016;21/12/2019
ADT SECURITY SERVICES S.A.;30-65663161-5;EXPENACOM 6867/2016;CERRITO;1070;3°        ;71;C1010AAV;CABA;CIUDAD DE BUENOS AIRES;(011  )4708-7900;30-2864;0;4890 APN-DNAYRT#ENACOM/2023;19/05/2023;19/05/2026
AFINA S.R.L.;30-70945240-8;EXPCNC 3774/2006;CORDOBA;673;3;B   ;C1054AAF;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4315-6800;30-1573;0;140 GI/2010;13/01/2010;13/01/2013
AGCO ARGENTINA S.A.;30-50385832-7;EXPCNC 11624/2010;RUTA PROVINCIAL 24, KM 18;S/Nº;          ;    ;B1749ASA;GENERAL RODRIGUEZ;BUENOS AIRES;(0237 )485 -8100;30-2090;0;2185 GI/2015;05/06/2015;05/06/2018
AGCO ARGENTINA S.A.;30-50385832-7;EXPCNC 11624/2010;SUIPACHA;1111;18;    ;C1008AAW;CABA;CIUDAD DE BUENOS AIRES;(011  )4114-3000;30-2090;0;2185 GI/2015;05/06/2015;05/06/2018
AGEN S.A.;30-71085732-2;EXPAFTIC 3378/2015;JUANA MANSO;1800;6;    ;C1107CHJ;CABA;CIUDAD DE BUENOS AIRES;(011  )6091-7675;30-2646;0;61834498 APN-REYS#ENACOM/2020;01/10/2020;01/10/2023
AGIMED S.R.L.;30-70229752-0;EXPENACOM 11200/2016;CULLEN;5769;3;    ;C1431BXS;CABA;CIUDAD DE BUENOS AIRES;(011  )4573-6600;30-2963;0;8337 APN-DNAYRT#ENACOM/2024;03/09/2024;03/09/2027
AGM MOTOS S.R.L.;30-70842230-0;EXPCNC 16310/2014;PUEYRREDON;980;          ;    ;1032;CABA;CIUDAD DE BUENOS AIRES;(011  )4961-8947;30-2048;0;4378 GI/2014;10/12/2014;10/12/2017
AGUAS S.R.L.;30-58195817-6;EX- -APN-SDYME#ENACOM 18995447/2019;AVELLANEDA;1290;          ;    ;1642;SAN ISIDRO;BUENOS AIRES;(011  )4743-3200;30-2501;0;4817 APN-DNAYRT#ENACOM/2019;11/04/2019;11/04/2022
AGUAS S.R.L.;30-58195817-6;EX- -APN-SDYME#ENACOM 18995447/2019;AVENIDA LAFUENTE;372;PB        ;1;C1406ETQ;CABA;CIUDAD DE BUENOS AIRES;(011  )4611-7273;30-2501;0;4817 APN-DNAYRT#ENACOM/2019;11/04/2019;11/04/2022
AGUIRRE, JULIO CESAR;20-08403200-0;EXPCNC 2193/2010;EVA PERON;1891;6°        ;52;C1406HMG;CABA;CIUDAD DE BUENOS AIRES;(011  )4427-8539;30-2778;0;353 APN-DNAYRT#ENACOM/2025;22/02/2025;22/02/2028
AHF ANTENAS S.A.;30-68825461-9;;CAJARAVILLE CAPITAN MIGUEL;3629;          ;    ;B1606CWQ;CARAPACHAY;BUENOS AIRES;(011  )4766-3916;30-692;02-319;4023 SU/1985;10/09/1985;10/09/1988
AIR LIQUIDE ARGENTINA S.A.;30-50085213-1;EXPENACOM 2345/2017;URUGUAY;1037;7°        ;    ;C1016ACA;CABA;CIUDAD DE BUENOS AIRES;(011  )4708-2200;30-2296;0;6131 APN-DNAYRT#ENACOM/2023;07/07/2023;07/07/2026
AIR S.R.L.;30-57013558-5;EXPCNC 4580/2012;CORRIENTES;733;          ;    ;S2000CTG;ROSARIO;SANTA FE;(0341 )436 -7757;30-1869;02-523;2196 GI/2015;05/06/2015;05/06/2018
AIR S.R.L.;30-57013558-5;EXPCNC 4580/2012;DR. RAMON CARRILLO;216;          ;    ;C1275AHF;CABA;CIUDAD DE BUENOS AIRES;(011  )4016-0200;30-1869;02-523;2196 GI/2015;05/06/2015;05/06/2018
AITA, GERONIMO JOSE;20-07713515-5;EXPCNC E 13296/1999;LA CIFRA;649;          ;    ;B1714FOA;ITUZAINGO;BUENOS AIRES;(011  )4623-5156;30-1730;02-337;500 GI/2009;06/02/2009;06/02/2012
AITA, GERONIMO JOSE;20-07713515-5;EXPCNC E 13296/1999;ROCHA;1261;7;G   ;C1166AFG;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4301-4153;30-1730;02-337;500 GI/2009;06/02/2009;06/02/2012
AITUE COMUNICA S.A.;30-71027593-5;EXPCNC 11389/2010;AVENIDA CERVIÑO;3244;          ;    ;1425;CABA;CIUDAD DE BUENOS AIRES;(011  )6230-0000;30-1812;0;4007 GI/2010;19/11/2010;19/11/2013
AITUE COMUNICA S.A.;30-71027593-5;EXPCNC 11389/2010;BULNES;1876;7;A   ;1425;CABA;CIUDAD DE BUENOS AIRES;(011  )6230-0000;30-1812;0;4007 GI/2010;19/11/2010;19/11/2013
AKI ASISTENCIA INTEGRAL S.A.;30-68643869-0;;CHACABUCO;646;          ;    ;C1069AAN;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-793;0;40 GI/1990;18/01/1990;18/01/1993
AKRIBIS S.R.L.;30-70851097-8;EX- -APN-SDYME#ENACOM 17604131/2018;BACACAY;2180;1°        ;B   ;C1406GDL;CABA;CIUDAD DE BUENOS AIRES;(011  )4633-9550;30-2424;0;2358 APN-DNAYRT#ENACOM/2018;03/05/2018;03/05/2021
ALACHA S.R.L.;30-71487594-5;EXPCNC 6926/2015;SAN MARTIN;66;7;713;1004;CABA;CIUDAD DE BUENOS AIRES;(011  )4425-0044;30-2103;0;186 DINAPTIC/2015;21/08/2015;21/08/2018
ALADRIAN S.A.;33-61871843-9;;RAWSON;345;          ;    ;C1182ACE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4981-6392;30-1026;0;145 CN/1991;11/04/1991;11/04/1994
ALBERTO CARLOS EDUARDO GARCIA COMUNICACIONES S.A.;30-58648915-8;EXPCNC 1714/2003;DEL LIBERTADOR;8156;          ;    ;C1429BNO;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4701-0985;30-2949;0;7316 APN-DNAYRT#ENACOM/2024;06/08/2024;06/08/2027
ALBERTO DURAN VIDEO SISTEMAS;00-00000876-0;;EVARISTO CARRIEGO;938;          ;    ;5501;GODOY CRUZ;MENDOZA;;0;02-450;426 CN/1991;29/08/1991;29/08/1994
ALBERTO LEONCIO TAPIA ENIO EDUARDO ESCALANTE;30-63781951-4;;AMENABAR JOSE DE;3104;7;A   ;C1429AEF;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1040;0;225 CN/1991;24/05/1991;24/05/1994
ALCATEL-LUCENT DE ARGENTINA S.A.;30-52204115-3;EXPCNC E 11318/1998;VIEYTES JUAN HIPOLITO;1710;          ;    ;C1275AGT;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-2042;0;4385 GI/2014;10/12/2014;10/12/2017
ALCO ROSARIO S.A.;30-61250235-4;EXPCNC 13422/2013;CATAMARCA;2440;          ;    ;S2000JRF;ROSARIO;SANTA FE;(0341 )421 -8999;30-1961;0;4986 GI/2013;05/12/2013;05/12/2016
ALCO ROSARIO S.A.;30-61250235-4;EXPCNC 13422/2013;MOREAU DE JUSTO ALICIA;1750;3;C   ;C1107AFJ;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1961;0;4986 GI/2013;05/12/2013;05/12/2016
ALE ARGENTINA S.R.L.;33-71462389-9;EXPAFTIC 6569/2015;GUEMES;676;          ;    ;B1638CJF;VICENTE LOPEZ;BUENOS AIRES;(011  )5056-9723;30-2834;0;6849 APN-DNAYRT#ENACOM/2022;04/11/2022;04/11/2025
ALE ARGENTINA S.R.L.;33-71462389-9;EXPAFTIC 6569/2015;INGENIERO BUTTY;240;5;    ;1001;CABA;CIUDAD DE BUENOS AIRES;(011  )5056-9723;30-2834;0;6849 APN-DNAYRT#ENACOM/2022;04/11/2022;04/11/2025
ALEFERDI TECNOLOGIAS S.A.;33-71160620-9;EXPCNC 1122/2013;HUMBOLDT;1539;          ;    ;1414;CABA;CIUDAD DE BUENOS AIRES;(011  )4774-1014;30-2879;0;6442 -APN-DNAYRT#ENACOM/2023;08/08/2023;08/08/2026
ALFACOM S.R.L.;30-66385808-0;EXPCNC E 6583/2000;PERU;117;          ;    ;B1603CIC;VILLA MARTELLI;BUENOS AIRES;(011  )4709-0433;0;02-463;9689 GI/2000;01/09/2000;01/09/2000
ALHARAL, JOSE LUIS;20-11255595-2;EX- -APN-REYS#ENACOM 64711990/2021;JURAMENTO;5115;5;16;C1431CKM;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-2727;0;5025 APN-DNAYRT#ENACOM/2021;15/11/2021;15/11/2024
ALIC S.A.;30-70893076-4;EX- -APN-AMEYS#ENACOM 82415705/2019;VUELTA DE OBLIGADO;1947;6°        ;A   ;C1428ADC;CABA;CIUDAD DE BUENOS AIRES;(011  )4786-1424;30-2554;0;11567 APN-DNAYRT#ENACOM/2019;01/11/2019;01/11/2022
ALLFLEX ARGENTINA S.A.;30-70049927-4;EX- -APN-SDYME#ENACOM 64324935/2019;PRESIDENTE LUIS SAENZ PEÑA;2002;          ;    ;1135;CABA;CIUDAD DE BUENOS AIRES;(011  )4116-4861;30-2537;0;9516 APN-DNAYRT#ENACOM/2019;21/08/2019;21/08/2022
ALLGON TELECOM LIMITADA SUCURSAL ARGENTINA;30-70744065-8;EXPCNC E 2971/2001;TACUARI;147;4;    ;C1071AAC;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4334-9035;30-1391;0;2523 GI/2001;04/06/2001;04/06/2004
ALLOIS S.R.L.;30-70953321-1;EXPCNC 7743/2006;GAONA;3510;          ;    ;C1416DSX;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4637-3360;30-1595;0;4457 GI/2006;30/10/2006;30/10/2009
ALMA AGROPECUARIA S.A.;30-71197301-6;EXPENACOM 2988/2016;AVDA. JUAN GARCIA DEL RIO;2477;3°        ;A   ;C1429DEA;CABA;CIUDAD DE BUENOS AIRES;(011  )4771-5055;30-2184;0;3092 ENACOM/2016;20/05/2016;20/05/2019
ALMEYRA, DIEGO CARLOS;23-17763535-9;EXPCNC E 16986/1999;PUJOL JUAN;1387;6;A   ;C1416CIE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4584-8430;30-1360;0;369 GI/1999;28/12/1999;28/12/2002
ALONSO HERMANOS SIRENAS S.A.;30-66363299-6;EXPCNC 8511/2006;DEMARIA JOSE;4627;          ;    ;C1425AEE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4246-6869;30-2092;02-548;2232 GI/2015;05/06/2015;05/06/2018
ALONSO HERMANOS SIRENAS S.A.;30-66363299-6;EXPCNC 8511/2006;SAN LORENZO;1771;          ;    ;B1824BWY;LANUS;BUENOS AIRES;(011  )4246-6869;30-2092;02-548;2232 GI/2015;05/06/2015;05/06/2018
ALPINE ELECTRONICS OF AMERICA, INC. SUCURSAL BUENOS AIRES;30-66206875-2;EXPCNC 1671/2009;PRINGLES;648;          ;    ;C1183AEL;CABA;CIUDAD DE BUENOS AIRES;;30-2917;0;2538 APN-DNAYRT#ENACOM/2024;08/03/2024;08/03/2027
ALTA RAIL TECHNOLOGY ARGENTINA S.A.U.;30-71546410-8;EXPENACOM 7563/2017;AVDA. DE MAYO;651;3°        ;14;C1084AAB;CABA;CIUDAD DE BUENOS AIRES;(011  )4346-1000;30-2311;0;178 -APN-DNAYRT#ENACOM/2017;17/05/2017;17/01/2021
ALTECO S.A.;30-60389677-3;EXPCNC E 7643/1999;DORREGO CNEL MANUEL;2265;          ;    ;C1414CLE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4774-1492;30-978;0;3215 GI/1999;04/11/1996;04/11/1999
ALTECO S.A.;30-60389677-3;EXPCNT E 36049/1996;DORREGO CNEL MANUEL;2265;          ;    ;C1414CLE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4774-1492;30-709;0;3946 GI/1996;04/11/1996;04/11/1999
ALTEKNIA S.A.;30-66348360-5;EXPCNC E 5810/2001;CNEL. TOMAS DE ROCAMORA;4143;          ;    ;C1184ABC;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4865-8989;30-1403;0;3472 GI/2004;18/10/2004;18/10/2007
ALTRONIC COMPANY S.R.L.;33-69097825-9;EXPCNC 1845/2002;MORENO;3399;          ;    ;C1209ABK;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4711-5700;30-1422;0;2527 GI/2002;19/06/2002;19/06/2005
ALVIS S.A.;30-70989115-0;EX- -APN-REYS#ENACOM 33956104/2024;AVDA. LEANDRO N. ALEM;449;6º        ;    ;C1003AAE;CABA;CIUDAD DE BUENOS AIRES;(011  )5578-3033;30-2936;0;4324 DNAYRT#ENACOM/2024;06/05/2024;06/05/2027
ALVIS S.A.;30-70989115-0;EX- -APN-REYS#ENACOM 33956104/2024;DR. A. ALSINA;760;7º        ;A   ;B1638CBQ;VICENTE LOPEZ;BUENOS AIRES;;30-2936;0;4324 DNAYRT#ENACOM/2024;06/05/2024;06/05/2027
AMAZON KUIPER ARGENTINA SOCIEDAD DE RESPONSABILIDAD LIMITADA;30-71741515-5;EX- -APN-ALYAT#ENACOM 40294594/2026;AV COLON;723;2;1;5500;CAPITAL;MENDOZA;;30-3092;0;7780 APN-DNLAYR#ENACOM/2026;19/05/2026;01/01/2099
AMAZON KUIPER ARGENTINA SOCIEDAD DE RESPONSABILIDAD LIMITADA;30-71741515-5;EX- -APN-ALYAT#ENACOM 40294594/2026;EDUARDO MADERO;900;17;IZQ.;1106;CABA;CIUDAD DE BUENOS AIRES;(011  )4010-5000;30-3092;0;7780 APN-DNLAYR#ENACOM/2026;19/05/2026;01/01/2099
AMBASSADOR FUEGUINA S.A.;30-61684986-3;EXPCNC 17755/2014;AVDA. PERITO MORENO;1750;          ;    ;9410;USHUAIA;TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR;(011  )5775-0748;30-2058;0;117 GI/2015;22/01/2015;22/01/2018
AMBASSADOR FUEGUINA S.A.;30-61684986-3;EXPCNC 17755/2014;JUANA MANSO;1161;8º        ;802;C1107CBX;CABA;CIUDAD DE BUENOS AIRES;(011  )5775-0748;30-2058;0;117 GI/2015;22/01/2015;22/01/2018
AMERICAN TELECOMMUNICATION  INCORPORATED ARGENTINA S.A.;30-70704848-0;EXPCNC 6405/2002;AVDA. CONGRESO;1532;1;B   ;C1428BUB;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4706-0317;30-1433;0;238 GI/2003;10/01/2003;10/01/2006
AMERICAN TRACER S.A.;30-70781354-3;EXPCNC 2681/2005;CABILDO;3620;          ;    ;C1429AAU;CABA;CIUDAD DE BUENOS AIRES;(011  )4014-0540;30-1521;0;2024 GI/2005;13/05/2005;13/05/2008
AMERICAN TRAFFIC S.A.;30-70095531-8;EXPCNC 7927/2013;CASEROS;3039;          ;    ;1264;CABA;CIUDAD DE BUENOS AIRES;(011  )6570-9879;30-2976;0;12600 APN-DNAYRT#ENACOM/2024;19/12/2024;19/12/2027
AMERICOM S.A.;30-69205596-5;EXPCNC 9443/2011;CALLE 8;832;PA        ;    ;B1900THA;LA PLATA;BUENOS AIRES;(0221 )425 -6565;30-1847;0;4025 GI/2011;06/10/2011;06/10/2014
AMERICOM S.A.;30-69205596-5;EXPCNC 9443/2011;PASEO COLON;797;3;B   ;C1063ACH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4345-4440;30-1847;0;4025 GI/2011;06/10/2011;06/10/2014
AMERITEL S.A.;30-67859092-0;EXPCNT E 28080/1996;BERNARDO DE IRIGOYEN;722;7;    ;C1072AAP;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4331-0443;30-1266;0;761 GI/1996;28/02/1996;28/02/1999
