Estado de la empresa,RUT,Código CIIU principal,Descripción Código CIIU principal,Denominación Social,Nombre comercial,Dirección Estab. Principal ,Departamento Estab. Principal,Número de teléfono,Email público,Sitio web,Fec. Registro
Vigente,218941940018,70209,Otras actividades de administración y consultoría de administración de empresas,BTECH SAS,S/D,Luis B Cavia 3071,MONTEVIDEO,24070000,info@segalerba.com.uy,S/D,2025-09-15
Vigente,213149970018,38220,Tratamiento y eliminación de desechos peligrosos,CELULOIDE SOCIEDAD ANONIMA,TRIEX,Haiti 1500,MONTEVIDEO,23129042,Triex@triex.com.uy,www.triex.com.uy,2025-08-13
Vigente,214713280010,10799,Elaboración de otros productos alimenticios n.c.p.,BRUN Y CIA S R L,Brun y Cia,Centenario 2849,MONTEVIDEO,24818468,info@brunycia.com.uy,S/D,2025-07-22
Vigente,219064480015,62020,Actividades de consultoría informática y actividades de administración de medios informáticos,RELINFRA SAS,S/D,GERMAN ARAUJO 0,CANELONES,24070000,INFO@SEGALERBA.COM.UY,S/D,2025-09-25
Vigente,218045520017,62010,Actividades de programación informática,INOSTUS SOCIEDAD POR ACCIONES SIMPLIFICADAS,INOSTUS SAS,BULEVARD ESPAÑA 2323,MONTEVIDEO,29152155,finance.pyxis@rb.uy,S/D,2025-10-28
Vigente,218342200017,62020,Actividades de consultoría informática y actividades de administración de medios informáticos,DIGITAL AUTOMATION DE URUGUAY SRL,S/D,CNEL BRANDZEN 1956,MONTEVIDEO,24070000,info@segalerba.com.uy,S/D,2024-12-03
Vigente,210623120011,46495,Comercio al por mayor de electrodomésticos,ELECTROFONIA S A,S/D,HOCQUART 1615,MONTEVIDEO,29242045,info@electrofonia.com,www.electrofonia.com,2024-12-17
Vigente,150695230010,11020,Elaboración de vinos,FIRPO GOMEZ ADEMAR FERNANDO,Shushito,Charrúas 767,S/D,098989401,afirpog@gmail.com,https://www.instagram.com/amarga_lorenzo/,2026-05-08
Vigente,110066910017,20290,Fabricación de otros productos químicos n.c.p.,SILVA ARTIGAS HUGO WALTER Y PEREZ MEDEROS ELBA NELLY,FABRICA DE VELAS SILVA PEREZ,CEDROS 1111,S/D,26956125,estudiofmartinez@gmail.com,S/D,2026-04-27
Vigente,219100320019,62010,Actividades de programación informática,CRUNCH LOOP SYSTEMS SAS,S/D,JAMAICA 2144,MONTEVIDEO,24070000,info@segalerba.com.uy,S/D,2024-12-04
Vigente,100679540012,46495,Comercio al por mayor de electrodomésticos,BLUE LIFE S.R.L.,SANSWELL,S/D,S/D,S/D,BLUELIFEURUGUAY@GMAIL.COM,https://www.sanswell.com.uy/,2025-07-21
Vigente,218774800017,15200,Fabricación de calzado,MEDEROS PONCE DE LEÓN NICOLAS MARTIN,MEDEROS PONCE DE LEÓN NICOLAS MARTIN,Alejandro Gallinal 1964,MONTEVIDEO,091394065,leonicalzados@gmail.com,https://www.instagram.com/leonicalzados/,2025-04-09
Vigente,020137700010,16101,Chipeado de madera,AGROMADERA`S    S.R.L.,S/D,Ruta 6 Km 0,CANELONES,099366466,agromaderas.uy@gmail.com,S/D,2025-07-22
Vigente,120405610018,25110,Fabricación de productos metálicos para uso estructural,CBMETAL SAS,Metalurgica Borches,Rep de Ecuador 4132,PAYSANDÚ,091396501,metalurgica.borches@gmail.com,www.metalurgicaborches.com,2025-08-06
Vigente,150374060013,32902,Fabricación de ataúdes,BARBOZA PITTAMIGLIO PABLO IGNACIO,BARBOZA PITTAMIGLIO PABLO IGNACIO,Rincon S/N,S/D,098415647,estudiofraymarcos@gmail.com,S/D,2026-05-21
Vigente,216649700014,16102,"Aserrado, cepillado y trabajo a máquina de la madera.",VALETOR S.A.,S/D,S/D,S/D,S/D,administracion@valetor.com.uy,S/D,2025-06-20
Vigente,070214000010,25110,Fabricación de productos metálicos para uso estructural,ESCARON TEJERA GUILLERMO SEBASTIAN,S/D,Calleros 1,FLORIDA,099288989,estudiofraymarcos@gmail.com,S/D,2025-08-21
Vigente,090062400016,47214,Comercio al por menor de productos de panadería y confitería,CONFITERIA IRISARRI S.A.,Confitería Irisarri,Treinta y Tres 618,LAVALLEJA,4424008,confiteria@irisarri.com.uy,S/D,2025-08-20
Vigente,211557220015,58110,Publicación de libros,FERRARO GOMEZ RENEE EVA,ZONA EDITORIAL,Paraguay 1478,MONTEVIDEO,099631140,reneeferraro@gmail.com,https://zonaeditorial.com/,2025-08-11
Vigente,180303650014,38210,Tratamiento y eliminación de desechos no peligrosos,PEREIRA RIVERO HUMBERTO ALEJANDRO,LICANE IMPORTACIONES,detomasi 820,S/D,099213219,cra.mariangelcorrea@gmail.com,S/D,2026-06-08
Vigente,215238130011,22203,Fabricación de productos de plástico moldeado,NUÑEZ CENTURION JUAN MANUEL,Moniplas,Ombú 3143,S/D,095287092,moniplas@hotmail.com,S/D,2026-06-09
Vigente,219121480015,22203,Fabricación de productos de plástico moldeado,SCANPLAS SAS,S/D,JUAN CABAL 2540,MONTEVIDEO,094239434,vito@scanplas.com.uy,scanplas.com.uy,2025-08-19
Vigente,200199830013,25921,Talleres de tornería,FERNANDEZ SCARON SANTIAGO,FERNANDEZ SCARON SANTIAGO,LA PAZ SIN NUMERO,S/D,092516332,estudioalvarez21@gmail.com,S/D,2026-06-05
Vigente,216111500019,31001,Fabricación de muebles de madera,CAVIPA LTDA,Carpintería Capozzolo,ENRIQUE MARTINEZ 2118,MONTEVIDEO,22036468,administracion@capozzolo.com.uy,S/D,2025-10-21
Vigente,217407210013,25110,Fabricación de productos metálicos para uso estructural,DERMALUZ SOCIEDAD ANONIMA,DERMALUZ S.A,S/D,S/D,45744335,administracion@estudioklett.com,S/D,2026-07-27
Vigente,200212170018,38210,Tratamiento y eliminación de desechos no peligrosos,LSTA S.A.S,LSTA S.A.S,Francisco Oliverez sin número,S/D,099027593,santiagotaran@gmail.com,S/D,2026-06-05
Vigente,214911430019,16101,Chipeado de madera,CHIPPER SOCIEDAD ANONIMA,CHIPPER SA,"PEREZ, LUIS EDUARDO 6240",MONTEVIDEO,23228760,aastor@chipper.com.uy,S/D,2025-10-20
Vigente,215064940013,10509,Elaboración de helados,SANIROL SOCIEDAD ANONIMA,HELADERIA TROPICAL,Cachimba y Faroles 729,ROCHA,099871251,sanirolsa@gmail.com,S/D,2025-08-08
Vigente,215023340011,20120,Fabricación de abonos y compuestos de nitrógeno,GARCIA PINTOS MONTES GUSTAVO FELIPE,Biocis,Sarandi 1426,PAYSANDÚ,099608629,gustavo@promobacter.com,promobacter.com.uy,2025-08-20
Vigente,070119850010,16102,"Aserrado, cepillado y trabajo a máquina de la madera.",SANTOS HERNANDEZ MARIELA MARGOT,SANTOS HERNANDEZ MARIELA MARGOT,Av Artigas 1029,S/D,091205713,estudioherar@gmail.com,S/D,2026-06-04
Vigente,211206570013,18119,"Otras actividades de impresión, grabación y reproducción, excepto serigrafía sobre textiles",VALOR INDUSTRIAL S A,IMPRESORA LUGRAMA,CAMINO LAS CAÑAS S/N,S/D,26988727,estudio@estudiomontevideo.com.uy,S/D,2026-05-15
Vigente,020580410018,10711,"Elaboración de pan, productos panificados en forma tradicional",TRIGO REY S.A.S.,Trigo Rey,S/D,S/D,S/D,RRHH@trigorey.com.uy,trigorey.com.uy,2025-08-11
Vigente,219361080011,10711,"Elaboración de pan, productos panificados en forma tradicional",LUNA GLOBAL SAS,LOS TRIGALES,18 DE JULIO 1309,RÍO NEGRO,45623322,estudiogiovio@gmail.com,S/D,2025-08-20
Vigente,220416300011,29200,Fabricación de carrocerías para vehículos automotores,CARROCERIAS NICAR SAS,Carrocerias Nicar,Daniel Soulier 1133,S/D,098229114,carroceriasnicar@hotmail.com,S/D,2026-06-05
Vigente,170365910012,31009,"Fabricación de muebles de otros materiales no especificados (excepto de piedra, hormigón y cerámica).",CHACON MUSSINI IRENE Y BENTANCUR CHACON FACUNDO,ABERTURAS BENTANCUR,AVDA. 18 DE JULIO S/N,SAN JOSÉ,098382403,bentancur_aberturas@gmail.com,Bentancur_aberturas,2025-08-20
Vigente,100711540019,22202,Fabricación de laminados planos y tubulares de materiales plásticos,MILAN CUADRO ANA PAULA,Bolsas Maldonado,GUMERSINDO SARAVIA Y GRANJA FERREIRO S/N,MALDONADO,099482754,bolsasmaldonado@gmail.com,www.bolsasmaldonado.uy,2025-09-08
Vigente,218953510013,20220,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas",COLORLABS SAS,CREATIVE COLORLABS,José Fernández Medina 4921,MONTEVIDEO,099267666,stefania.pouquette@creativecolorlabs.com,www.creativecolorlabs.com,2025-08-12
Vigente,214974480013,38220,Tratamiento y eliminación de desechos peligrosos,SILOMAX S A,3R SAFE,S/D,CANELONES,095721279,pablopatetta@hotmail.com,www.3r.com.uy,2025-01-27
Vigente,190252410019,18119,"Otras actividades de impresión, grabación y reproducción, excepto serigrafía sobre textiles",SG INDUSTRIAL S.R.L.,SERVICIOS GRAFICOS,GRAL RIVERA 319,TACUAREMBÓ,46331805,ventas@serviciosgraficos.com.uy,www.serviciosgraficos.com.uy,2025-08-20
Vigente,217265520018,62010,Actividades de programación informática,HOLIDAYS S.A,N/A,BVAR ESPAÑA 2586,MONTEVIDEO,26041604,contratos@despegar.com,Despegar.com,2024-11-15
Vigente,218456100011,86902,Servicios de laboratorios de análisis clínicos y radiológicos,BIRELDAN S.A.,GENEXA,YARO 1234,MONTEVIDEO,24180000,pereira@genexa.com.uy,www.genexa.com.uy,2025-08-18
Vigente,218789320016,62010,Actividades de programación informática,GUAYOYO SAS,GUAYOYO,Bv España 2511,S/D,2708-08-08,mparodi@ox.com.uy,S/D,2026-07-01
Vigente,217224970019,18120,Servicios relacionados con la impresión,PASSARO OLIVER DANIEL OMAR,PASSARO OLIVER DANIEL OMAR,JOSE MARIA PENCO 3182,S/D,24801718,STEFANY@BACHINI.COM.UY,S/D,2026-06-09
Vigente,110406580018,25110,Fabricación de productos metálicos para uso estructural,URROZ SANABRIA CLAUDIO FABIAN,URROZ SANABRIA CLAUDIO FABIAN,S/D,S/D,22926481,estudiofmartinez@gmail.com,S/D,2026-04-27
Vigente,220695810011,25921,Talleres de tornería,LUSETTI CEDRES MICHAEL FEDERICO,LUSETTI CEDRES MICHAEL FEDERICO,Artigas 13,S/D,094069058,myl.toneria@gmail.com,S/D,2026-04-23
Vigente,216330040013,10799,Elaboración de otros productos alimenticios n.c.p.,ETOSHA LTDA.,ETOSHA,Camino Repetto 3003,MONTEVIDEO,22272040,administracion@etosha.uy,etoshafoods.com,2025-08-15
Vigente,210809570017,22209,Fabricación de otros productos de plástico n.c.p.,HARLEY S R L,HARLEY SRL,SANTIAGO FIGUEREDO 4058,MONTEVIDEO,22156021,info@harleysrl.uy,S/D,2025-10-09
Vigente,213474330014,21000,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.",MAKTUB LTDA,Laboratorios ABIES,YI 1435,S/D,29162876,Info@laboratoriosabies.com.uy,https://laboratoriosabies.com/,2026-05-05
Vigente,216272750017,62010,Actividades de programación informática,PYXIS SOCIEDAD ANONIMA,PYXIS,bulevar españa 2511,MONTEVIDEO,27080808,finance.pyxis@rb.uy,S/D,2025-10-28
Vigente,040419180019,10501,Elaboración de productos lácteos en general,CELIO YAHN IRIS NELLY,ESTABLECIMIENTO IL TICINO,RUTA 1 S/N,COLONIA,099453413,iriscelio@hotmail.com,S/D,2025-08-08
Vigente,219276510015,62010,Actividades de programación informática,ORSOF SAS,S/D,DE VIANA JAVIER 947,MONTEVIDEO,099423962,orsiemilio@gmail.com,S/D,2025-03-31
Vigente,217786470019,62010,Actividades de programación informática,MIMIQUATE S.R.L.,S/D,"ESPAÑA,BULEVAR 2480",MONTEVIDEO,24070000,info@segalerba.com.uy,S/D,2024-12-03
Vigente,120319230016,33150,"Reparación de equipo de transporte, excepto los vehículos automotores",AIRCRAFT REPAIR STATION LTDA,ARS,Hangar 2 Aeropuerto Charles Chalkling 2,PAYSANDÚ,098245886,administracion@ars.uy,S/D,2025-07-29
Vigente,215392710014,22209,Fabricación de otros productos de plástico n.c.p.,ACRILICOS URUGUAYOS SRL,acrilicos uruguayos,eduardo victor haedo 2051,MONTEVIDEO,24091578,presupuestos.au@gmail.com,acrilicos.com.uy,2025-08-19
Vigente,214605070019,20220,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas",RAMALUX SOCIEDAD ANONIMA,ramalux pinturas,ruta 8 km 23500 23500,S/D,29151626,alecaraciolo@hotmail.com,S/D,2025-11-20
Vigente,215109650019,62010,Actividades de programación informática,GREYCON SOFTWARE S.A.,S/D,JAVIER DE VIANA 1005,MONTEVIDEO,24111851,admingla@greycon.com,S/D,2025-04-09
Vigente,220160860013,62010,Actividades de programación informática,PIDEV SAS,S/D,LUIS LAMAS 3285,MONTEVIDEO,24070000,INFO@SEGALERBA.COM.UY,S/D,2025-09-25
Vigente,210304100013,21000,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.",LABORATORIOS DISPERT S A,LABORATORIO DISPERT SA,"GARIBALDI, GRAL. 2797",MONTEVIDEO,24873083,dispert@adinet.com.uy,www.dispert.com.uy,2024-12-17
Vigente,217338810010,62010,Actividades de programación informática,SEBAGON SOCIEDAD DE RESPONSABILIDAD LIMITADA,SEBAGON SOCIEDAD DE RESPONSABILIDAD LIMITADA,JUAN MARIA PEREZ 2825,MONTEVIDEO,24070000,INFO@SEGALERBA.COM.UY,S/D,2024-12-03
Vigente,100073350016,10300,Procesamiento y conservación de frutas y vegetales,PA FRI MA LIMITADA,PAFRIMA LIMITADA,S/D,S/D,S/D,claudia@mecont.com.uy,www.manolosnacks.com.uy,2025-08-14
Vigente,219263730011,31001,Fabricación de muebles de madera,BIANCO VECCHIO EQUIPAMIENTOS SAS,Bianco Vecchio Equipamientos SAS,Oliveras 4459,S/D,091297464,wilbm754@gmail.com,www.pablobiancoequipamientos.com,2026-05-29
Vigente,120201290015,20210,Fabricación de pesticidas y de otros productos químicos de uso agropecuario,GROWING S.R.L.,GROWING SRL,S/D,PAYSANDÚ,47220831,diego.perez@growing.com.uy,www.growing.com.uy,2025-08-20
Vigente,060110650011,16220,Fabricación de partes y piezas de carpintería para edificios y construcciones,INTERNATIONAL BUSINESS GROUP IBG SAS,Goodhouse,Ruta 39 Km 7 Polo Empresarial La Candelaria Km 7,MALDONADO,092040450,hola@goodhouse.com.uy,www.goodhouse.com.uy,2025-07-16
