empresa,telefono,es_movil,email,sitio_web,rubro,ciudad
Comisaría 6ª,+54 11 4942 2333,no,,,police,CABA
Comisaría Vecinal 3-B,+54 11 4941 3333,no,,,police,CABA
Comisaría Vecinal 1-B,+54 11 4331 9643,no,,,police,CABA
Comisaría Vecinal 1-C,+54 11 4305 3333,no,,,police,CABA
Comisaría Vecinal 1-C (edificio anexo),+54 11 4306 3333,no,,,police,CABA
Comisaría 14,+54 11 4362 3333,no,,,police,CABA
Comisaría Comunal 3,+54 11 4953 2273,no,,,police,CABA
Comisaría Vecinal 1-A,+54 11 4371-3333,no,,,police,CABA
Comisaría Comunal 1,+54 11 4393-0076,no,,,police,CABA
Comisaría Vecinal 14-B,+54 11 4771-3333,no,,,police,CABA
Liceo 9 Santiago Derqui,+54 11 4785-3013,no,liceo9derqui@yahoo.com.ar,,school,CABA
Café La Biela,+54 11 4804-0449,no,info@labiela.com,http://www.labiela.com,cafe,CABA
Teatro Cervantes,+54 11 4816-4224,no,,http://www.teatrocervantes.gov.ar/,theatre,CABA
Embajada de los Estados Unidos,+541157774533,no,,https://ar.usembassy.gov/,diplomatic,CABA
Sinagoga de la Congregación Israelita (CIRA),+54 11 4123-0830,no,,http://www.templolibertad.org.ar/,place_of_worship,CABA
Banchero,+54 11 4382-4669,no,,,restaurant,CABA
El Cuartito,+54 11 4816-4331,no,,,restaurant,CABA
Siga La Vaca,+54 11 4315-6801,no,,https://sigalavaca.com/,restaurant,CABA
Estilo Campo,+54 11 4312-4546,no,info@estilo-campo.com.ar,https://estilo-campo.com.ar/,restaurant,CABA
Comisaría La Matanza NORESTE 1°,+54 11 4652 4444,no,,,police,CABA
FarmaVital,+54 11 4635-5777,no,,,pharmacy,CABA
Café Martínez,+54 11 4776-1870,no,uriarte@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,CABA
Bomberos Voluntarios de Avellaneda,+54 11 4201-2211,no,avellaneda@bomberosvoluntarios.org.ar,http://www.bomberosavellaneda.org.ar,fire_station,CABA
Escuela Primaria Común 22 Felix de Azara,+54 11 4541-3542,no,dep_epc22_de15@bue.edu.ar,,school,CABA
Escuela Integral Interdisciplinaria 10 Alférez de Navío José María Sobral,+54 11 4702-0818,no,recu10@yahoo.com.ar,,school,CABA
Escuela Primaria Común 09 Evaristo Julio Badia,+54 11 4701-3400,no,esc09de10@yahoo.com.ar,,school,CABA
Escuela Primaria Común 05 Gabriela Mistral,+54 11 4574-5188,no,esc05de16@gmail.com,,school,CABA
Jardín de Infantes Común 03/16° Mafalda,+54 11 4501-7947,no,jic3de16@gmail.com,,kindergarten,CABA
Escuela Primaria Común 08 Jorge Angel Boero,+54 11 4521-3757,no,dep_epc8_de15@bue.edu.ar,,school,CABA
Bodega Amparo,+54 11 4524-7722,no,,https://www.bodegaamparo.com.ar/,alcohol,CABA
Escuela Infantil 08/15º (a),+54 11 4552-4004,no,jinb_de15@hotmail.com,,kindergarten,CABA
Bomberos Voluntarios de Dock Sud,+54 11 4201-2222,no,,,fire_station,CABA
La Casona de Flores,+54 11 4632-1060,no,,http://bloglacasonadeflores.blogspot.com/,restaurant,CABA
Centro Educativo de Nivel Secundario 63,+54 11 4815-3179,no,deaa_cens63_de1@bue.edu.ar,,school,CABA
Café Martínez,+54 11 4373-5346,no,callao498@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,CABA
Starbucks,+54 11 5258-0314,no,info@starbucks.com.ar,https://www.starbucks.com.ar/,cafe,CABA
Instituto Privado del Sindicato GBA de Obras Sanitarias,+54 11 6319-1441,no,lagotitadeagua@hotmail.com,,kindergarten,CABA
Espacio INCAA KM 0 - Gaumont,+54 11 4381-0003,no,espacioincaa@incaa.gov.ar,https://www.facebook.com/EspacioIncaa,cinema,CABA
Sanatorio De La Providencia,+54 11 4813 2721,no,,https://www.sanatoriodelaprovidencia.com/,hospital,CABA
Escuela Argentina Modelo,+54 11 4811-2705,no,eam@eam.eam.edu.ar,,school,CABA
Establecimiento General de Café,+54 11 4371-6742,no,info@estcafe.com.ar,https://establecimientocafe.com.ar/,cafe,CABA
Escuela Primaria Común 05 Nicolás Rodríguez Peña,+54 11 4811-9190,no,escpri5de1@gmail.com,,school,CABA
Parrilla Peña,+54 11 4371-5643,no,,,restaurant,CABA
Posta,+54 11 4822-8979,no,mtalvear@leble.com.ar,http://www.leble.com.ar/,cafe,CABA
Escuela del Mirador,+54 11 4501-9742,no,secretaria@escueladelmirador.com.ar,,school,CABA
Nuestra Señora de Gracia y Buen Remedio,+54 11 4501-0249,no,ingybr@yahoo.com.ar,,school,CABA
Café Martínez,+54 11 4777-2456,no,lmcampos@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,CABA
Supervielle,+54 11 4773-2993,no,,https://www.supervielle.com.ar/,bank,CABA
BBVA,+54 11 4340-7040,no,,https://www.bbva.com.ar,bank,CABA
Parador 40,+54 11 4641-0494,no,,,restaurant,CABA
Colegio Lincoln,+54 11 4778-1997,no,primarialincoln@gmail.com,,school,CABA
Disco,+54 11 4733-1000,no,,,supermarket,CABA
Jardín de Infantes Nucleado A (EPCjs 10/09°) [Sede],+54 11 4778-0264,no,jina_de9@yahoo.com.ar,,kindergarten,CABA
Instituto Esquiú,+54 11 4784-3222,no,info@colegio-esquiu.com.ar,https://www.colegioesquiu.edu.ar/,school,CABA
Jardín de Infantes Nucleado A (EPCjc 08/09°),+54 11 4778-0264,no,jina_de9@yahoo.com.ar,,kindergarten,CABA
Colegio del Arce,+54 11 4772-1902,no,colegio@delarce.com.ar,,school,CABA
Farmacity,+54 11 4551-4872,no,,https://www.farmacity.com/,pharmacy,CABA
Duque,+54 11 5263-7402,no,info@duquefuegos.com.ar,https://www.duquefuegos.com.ar/,restaurant,CABA
Victoria Urquiza,+54 11 4521-1878,no,,,restaurant,CABA
Provincia,45533035,no,,https://www.bancoprovincia.com.ar/,bank,CABA
Escuela Primaria Común 19 Naciones Unidas,+54 11 4543-9344,no,escuela19de15@yahoo.com.ar,,school,CABA
Escuela Primaria Común 17 Monseñor Gustavo J. Franceschi,+54 11 4552-5923,no,dep_epc17_de14@bue.edu.ar,,school,CABA
MS Superí,+54 11 4522-3271,no,,,pharmacy,CABA
Instituto Glaux,+54 11 4501-3100,no,secretaria@glaux.edu.ar,,school,CABA
Jardín de Infantes Nucleado E (EPCjs 02/17°) Juana Manso,+54 11 4501-9651,no,jinejuanamanso@gmail.com,,kindergarten,CABA
Jardín de Infantes Nucleado E (EPCjs 08/17° Juana Manso),+54 11 4501-9651,no,jinejuanamanso@gmail.com,,kindergarten,CABA
Stampa Automotores,+54 11 4006 6400,no,,https://stampaautomotores.com.ar/,car,CABA
Jardín del Pino,+54 11 4811-6511,no,jardindelpino1@hotmail.com,,kindergarten,CABA
Embajada de Nigeria,+54 11 48070985,no,,,diplomatic,CABA
Starbucks,+54 11 4958-0205,no,info@starbucks.com.ar,https://www.starbucks.com.ar/,cafe,CABA
McDonald's,+54 11 4711-2000,no,,https://www.mcdonalds.com.ar/,fast_food,CABA
Disco,+54 11 4787-4700,no,,https://disco.com.ar,supermarket,CABA
Oasis,+54 11 4786-6388,no,,,pharmacy,CABA
Escuela Primaria Común 04 Provincia de Córdoba,+54 11 4831-5302,no,esc04de9@gmail.com,,school,CABA
Instituto Benito Nazar,+54 11 4862-4993,no,info@benitonazar.Escuelaedu.ar,,school,CABA
"División Cuartel VI ""Villa Crespo""",+54 11 4854-2222,no,,,fire_station,CABA
Colegio Nuevo Pensar,+54 11 4504-2031,no,directivosnuevopensar@gmail.com,,school,CABA
Jardín de Infantes Nucleado E (EPCjc 05/17°) Juana Manso,+54 11 4501-9651,no,jinejuanamansi@gmail.com,,kindergarten,CABA
Escuela Primaria Común 01 Doctor Antonio Dellepiane,+54 11 4501-0529,no,dep_epc1_de17@bue.edu.ar,,school,CABA
YPF,+54 11 4545 1817,no,,,fuel,CABA
Starbucks,+54 11 5530-7324,no,info@starbucks.com.ar,https://www.starbucks.com.ar/,cafe,CABA
Escuela del Parque,+54 11 4958-6100,no,informes@escueladelparque.com.ar,,school,CABA
Instituto Carlos Pellegrini,+54 11 4901-3297,no,institutocarlospellegrini@gmail.com,,school,CABA
Colegio Integral Caballito,+54 11 4431-8483,no,secretaria@colegiocaballito.com.ar,http://colegiointegralcaballito.blogspot.com/,school,CABA
Instituto Casa Verde,+54 11 4631-6379,no,greenhouse@speedy.com.ar,,school,CABA
Instituto Argentino Excelsior,+54 11 4431-9290,no,excelsior@fibertel.com.ar,,school,CABA
Instituto Sara Chamberlain de Eccleston,+54 11 4631-4194,no,ecclest@fibertel.com.ar,,school,CABA
Jardín Carita Feliz,+54 11 4634-0231,no,info@jardincaritafeliz.com.ar,,kindergarten,CABA
Abrahan Lincoln Flores,+54 11 4637-3515,no,lincolnflores00@hotmail.com,,school,CABA
Escuela Primaria Común 01 Museo de Bellas Artes Gral. Urquiza,+54 11 4612-0566,no,dep_epc1_de12@bue.edu.ar,,school,CABA
Instituto San José de Flores,+54 11 4637-1513,no,secretaria273@yahoo.com.ar,http://www.primariasanjosedeflores.blogspot.com.ar/,school,CABA
Escuela del Nuevo Sol,+54 11 4904-0772,no,,,school,CABA
Instituto Social Militar Doctor Dámaso Centeno,+54 11 4432-3114,no,instituto@damasocenteno.edu.ar,,school,CABA
Instituto Profesorado Jorge A. Susini,+54 11 4632-3847,no,rlegalinstitutosusini@gmail.com,,school,CABA
Escuela Técnica 18 José Antonio Alvarez Condarco,+54 11 4631-5943,no,et18de11@gmail.com.ar,,school,CABA
Escuela Miguel Hernandez,+54 11 4925-1627,no,escuelamhernandez@hotmail.com,,school,CABA
Instituto América del Sur,+54 11 4981-3339,no,americadelsur@fibertel.com.ar,,school,CABA
Escuela Técnica Ort 01,+54 11 4958-9000,no,escuelaort@ort.edu.ar,,school,CABA
Centros Médicos Barriales - CMB 4,+541146327525,no,,,clinic,CABA
CMB 12,+54 11 4631 8254,no,,,clinic,CABA
Starbucks,+54 11 5530-7311,no,info@starbucks.com.ar,https://www.starbucks.com.ar/,cafe,CABA
Clinica Los Cedros,+54 11 4622 8188,no,,https://www.cercanooeste.com/comercio/Clinica-Los-Cedros-de-Tapiales/Villa-Madero/Clinicas-y-Sanatorios/34204,hospital,CABA
Sanatorio Franchín,+541148654030,no,,,hospital,CABA
Rave,+54 11 4833-7832,no,info@restaurantrave.com.ar,http://www.restaurantrave.com.ar,restaurant,CABA
Escuela Nº 19 Yapeyú,+54 11 4241-1813,no,,,school,CABA
Claudio FIGUEIRA propiedades,+541145733333,no,info@figueirapropiedades.com.ar,https://www.figueirapropiedades.com.ar/,estate_agent,CABA
Inmobiliaria Magister Propiedades,+541145443786,no,,https://www.magisterpropiedades.com.ar/,estate_agent,CABA
Instituto San José de Villa del Parque,+54 11 4503-9248,no,secretariamediasanjose_up@hotmail.com,,school,CABA
Comisaría Vecinal 1-B (edificio anexo),+54 11 4307-0537,no,,http://www.policiadelaciudad.gob.ar,police,CABA
Panadería Las 3,+54 11 4311-0536,no,,,bakery,CABA
"Centro de Alfabetización, Educación Básica y Trabajo 17",+54 11 4300-7915,no,paebyt@gmail.com,,school,CABA
Sirop-Folie,+54 11 48135900,no,,https://www.siroprestaurant.com/,restaurant,CABA
Rabelais,+54 11 4515-0640,no,,,restaurant,CABA
Gran Bar Danzón,+54 11 4811-1108,no,danzon@granbardanzon.com.ar,http://www.granbardanzon.com.ar,restaurant,CABA
Circolo Massimo,+54 11 4519-8049,no,,http://www.circolomassimo.com.ar,restaurant,CABA
The Brighton,+54 11 4322-1515,no,,http://www.thenewbrightonsrl.com.ar,pub,CABA
Josephina's,+54 11 4811-5464,no,,,cafe,CABA
Las Violetas,+54 11 4958-7387,no,,https://www.lasvioletas.com/,cafe,CABA
Supermercado Vea,+54 11 4856-3737,no,,https://www.supermercadosvea.com.ar/,supermarket,CABA
Banco Piano,+54 11 4857-1581,no,,,bank,CABA
Banco Santander,+54 11 4110-4700,no,,https://www.santander.com.ar,bank,CABA
BBVA,+54 11 4857-6841,no,,https://www.bbva.com.ar,bank,CABA
La Estrella Del Sur,+54 11 4854-7394,no,,,fast_food,CABA
La Esperanza De Los Ascurra,+54 11 2058-8313,no,,http://esperanzaascurra.com.ar/,bar,CABA
Centro Educativo Municipal N°122 'Maria Elena Walsh',4205-9636,no,,https://www.mda.gob.ar/gobierno/secretaria-de-educacion/centros-educativos-municipales/,school,CABA
Oui Oui,+54 11 4776-4442,no,info@ouioui.com.ar,http://www.ouioui.com.ar/,restaurant,CABA
Café Martínez,+54 11 4373-2876,no,uruguay463@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,CABA
Establecimiento General de Café,+54 11 4372-2221,no,info@estcafe.com.ar,https://establecimientocafe.com.ar/,cafe,CABA
Teatro Paseo La Plaza,+54 11 63205300,no,,https://www.paseolaplaza.com.ar/,theatre,CABA
Marroco SII,+54 11 4982-2820,no,,,bakery,CABA
Café Martínez,+54 11 4854-3341,no,scalabriniortiz@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,CABA
Escuela Primaria Común 25 República de Guatemala,+54 11 4433-4950,no,escuela25de7@yahoo.com.ar,https://www.facebook.com/escuela25de7,school,CABA
Le Blé,+54 11 4554-5350,no,athomas@leble.com.ar,http://www.leble.com.ar/,cafe,CABA
Adiós Cretina Tienda,+54 11 4858-1191,no,,http://adioscretinatienda.com.ar/,clothes,CABA
Börner Argentina,+54 11 4855-0461,no,,https://www.borner.com.ar/,doityourself,CABA
mundohelado.com,+54 11 3527-9440,no,info@mundohelado.con,https://www.mundohelado.com,college,CABA
Macro,+54 11 4771 1359,no,,,bank,CABA
Starbucks,+54 11 4899-1505,no,info@starbucks.com.ar,https://www.starbucks.com.ar/,cafe,CABA
Escuela Abierta la Casa del Sol,+54 011 4757-0305,no,escuelaabierta.primaria@gmail.com,,school,CABA
Colegio Esteban Echeverría,+54 11 4300-2147,no,e.echeverria@vaneduc.edu.ar,http://www.vaneduc.edu.ar/ee/,school,CABA
El Beso Club,+54 11 4199-5902,no,,https://elbeso.com.ar/,bar,CABA
Galicia,0810-777-333,no,,https://bancogalicia.com/,bank,CABA
Instituto Horizonte,+54 11 4543-5591,no,info@colegiohorizontes.com.ar,,school,CABA
Jardín de Infantes Integral 02/15° Juan M. Coghlan,+54 11 4544-8509,no,jii2de15@gmail.com,,kindergarten,CABA
Café Martínez,+54 11 6088-6018,no,lima701@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,CABA
Urquiza MOTOS,+54 11 4541-7248,no,,https://www.urquizamotos.com.ar/,motorcycle,CABA
Lave-Rap,+54 11 4776-0238,no,,,laundry,CABA
Starbucks,+54 11 4314-3386,no,info@starbucks.com.ar,https://www.starbucks.com.ar/,cafe,CABA
Fundación de Altos Estudios en Ciencias Comerciales,+54 11 4124-4700,no,cflorentin@lafundacion.edu.ar,,college,CABA
Bacan,+54 11 4518-8567,no,,https://www.bacanbarberia.com.ar,hairdresser,CABA
Banco Provincia,4931-5114,no,,https://www.bancoprovincia.com.ar,bank,CABA
Starbucks,+54 11 4342-9317,no,info@starbucks.com.ar,https://www.starbucks.com.ar/,cafe,CABA
Gio,+54 11 4962-3558,no,,,ice_cream,CABA
Arcubic,+54 11 4582-8883,no,,https://arcubic.com.ar/,hifi,CABA
Chispita,+54 11 4963-6851,no,veronica_mancebof@hotmail.com,,kindergarten,CABA
Zooco,+54 11 2107 5286,no,,,pet,CABA
Nobiru,+54 11 4782-0401,no,,https://www.nobiru.com.ar/,restaurant,CABA
El Ateneo,+54 11 5786-9840,no,,https://www.yenny-elateneo.com/sucursales/,books,CABA
Granaderos,+54 11 2060-8383,no,farmaciagranaderos@hotmail.com,,pharmacy,CABA
Farmacia ABC,+54 11 4773-2083,no,,https://farmaciasabc.com.ar,pharmacy,CABA
Frávega,+54 11 3754-3207,no,,https://www.fravega.com/,electronics,CABA
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Infantil 09,+54 11 4304-2939,no,danzasmastrazzi@yahoo.com.ar,,college,CABA
Olazabar,+54 11 4787-5490,no,,,bar,CABA
San Cristóbal,+54 11 4788-8132,no,,,bakery,CABA
Super Chunghwa,+54 11 4706-2047,no,,http://www.superchunghwa.com,supermarket,CABA
La Juvenil,+54 11 4788-0601,no,info@lajuvenilpastas.com.ar,https://www.lajuvenilpastas.com.ar/,pasta,CABA
Disco,+54 11 4825-3300,no,,,supermarket,CABA
Watson's,+54 11 4313-5679,no,,,restaurant,CABA
Café Martínez,+54 11 4381-7346,no,diagonal@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,CABA
La Bombonella,+54 11 4371-0633,no,,,confectionery,CABA
American Bike,+54 11 4822-0889,no,info@americanbike.com.ar,https://www.americanbike.com.ar,bicycle,CABA
McDonald's,+54 11 5789-1212,no,,,fast_food,CABA
La Danesa,+54 11 4785-5544,no,,https://www.farmaciadanesa.com.ar/,pharmacy,CABA
Banco Ciudad,+54 800 222 0400,no,,,bank,CABA
Creme Chic,+54 11 4781-7120,no,,,ice_cream,CABA
Olazábal Sushi,+54 11 3529-7379,no,,http://www.nikkosushiwok.com,fast_food,CABA
Helados Gruta,+5491147800603,si,,,ice_cream,CABA
1810,+54 11 4784-0025,no,1810sucursalbelgrano@gmail.com,http://www.1810cocinaregional.com,restaurant,CABA
Comisaría Vecinal 7-B,+54 11 4432-3334,no,,,police,CABA
Las Familias,+54 11 4780-3665,no,,,bakery,CABA
Alcampo,+54 11 4785-8873,no,,,greengrocer,CABA
Vaccaro,+54 11 4783-6823,no,,,bureau_de_change,CABA
Ojal & Botón,+54 11 4783-5070,no,,,sewing,CABA
Banco Provincia,4862-2081,no,,https://www.bancoprovincia.com.ar/,bank,CABA
La Farola de Nuñez,+54 11 4786-1565,no,,,restaurant,CABA
Doctor Scarsi,+54 11 4781-8886,no,,,veterinary,CABA
Fujisan,+54 11 4784-1313,no,,http://www.fujisan.com.ar,restaurant,CABA
Pepa's,+54 11 4788-8673,no,,,fast_food,CABA
GranjArte,+54 11 4706-3484,no,,,butcher,CABA
La Revistería,+54 11 4780-4841,no,,https://www.larevisteriacomics.com/,books,CABA
La Juvenil,+54 11 4704-7005,no,info@lajuvenilpastas.com.ar,https://www.lajuvenilpastas.com.ar/,pasta,CABA
Pepper,+54 11 4784 6140,no,,,restaurant,CABA
Coppelia,+54 11 4781-7410,no,,,bakery,CABA
Los Sanchez,+54 11 3528-7826,no,,,hardware,CABA
Entelequia,+54 11 4788-4521,no,belgrano@entelequia.com.ar,https://entelequia.com.ar/,anime,CABA
Embajada Real de Tailandia,+54 11 4780-0555,no,thaiembargen@fibertel.com.ar,https://www.thaiembargen.org/,diplomatic,CABA
Leocan Express,+54 11 4787-5666,no,,https://www.leocan.com.ar,pet,CABA
Café Martínez,+54 11 4786-0508,no,cabildo1253@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,CABA
Solotar,+54 11 4783-1382,no,,,furniture,CABA
Disco,+54 11 4788-8866,no,,,supermarket,CABA
Dragón Porteño,+54 11 4784-8970,no,,,restaurant,CABA
Dojo Club,+54 11 3534-2408,no,,http://www.dojoclub.com.ar,dojo,CABA
Hotel Faraón,+54 11 4642 3643,no,info@faraon.com.ar,https://faraon.com.ar/Bienvenidos/,love_hotel,CABA
Galicia,+54 11 4806-4051,no,,,bank,CABA
Biblioteca Popular de Barracas,,no,info@bibliobarracas.com.ar,http://www.bibliobarracas.com.ar/,library,CABA
Instituto Nuestra Señora de la Misericordia,+54 11 4805-5478,no,secretaria@misericordia.edu.ar,,school,CABA
Los Pinos,+54 11 4822-8704,no,,,restaurant,CABA
Instituto Padre Luis M. Etcheverry Boneo,+54 11 4822-3687,no,etcheverryboneo@gmail.com,,school,CABA
Pizzería Tuñin,+54 11 4981-5555,no,,,restaurant,CABA
D'Libertador,+54 11 4701-7304,no,,,hardware,CABA
El Monumental,+54 11 4786-1293,no,,,fast_food,CABA
Carrefour Express,+54 11 3788-1233,no,,https://www.carrefour.com.ar/,convenience,CABA
La Mundial,+54 11 4702-7179,no,,,bakery,CABA
Pimientos,+54 11 4786-1913,no,,,fast_food,CABA
Mihanovich,+54 11 4311-0208,no,,,pharmacy,CABA
Alvaro Yunque,+54 11 4605-0603,no,biblioteca_yunque@buenosaires.gob.ar,,library,CABA
Antonio Devoto,+54 11 4501-4320,no,biblioteca_devoto@buenosaires.gob.ar,,library,CABA
Baldomero Fernández Moreno,+54 11 4855-7508,no,biblioteca_fmoreno@buenosaires.gob.ar,,library,CABA
Benito Lynch,+54 11 4687-1977,no,biblioteca_lynch@buenosaires.gob.ar,,library,CABA
Canónigo Luis Chorroarín,+54 11 4605-9341,no,biblioteca_chorroarin@buenosaires.gob.ar,,library,CABA
Casa de la Lectura,,no,casadelalectura.dgplbc@gmail.com,,library,CABA
Enrique Banchs,+54 11 4943-1078,no,biblioteca_banchs@buenosaires.gob.ar,,library,CABA
Estanislao Del Campo,+54 11 4926-0161,no,biblioteca_delcampo@buenosaires.gob.ar,,library,CABA
Hilario Ascasubi,+54 11 4566-5171,no,biblioteca_ascasubi@buenosaires.gob.ar,,library,CABA
Biblioteca Doctor Laureano Rivas Míguez,+54 11 4963-7146,no,biblioteca@cedie.org.ar,http://guti.gob.ar/docencia-e-investigacion/biblioteca.html,library,CABA
Intendente Julio C. Saguier,+54 11 4635-4009,no,biblioteca_saguier@buenosaires.gob.ar,,library,CABA
Javier Villafañe,+54 11 4919-0058,no,biblioteca_villafane@buenosaires.gob.ar,,library,CABA
Joaquín V. González,+54 11 4302-2481,no,biblioteca_gonzalez@buenosaires.gob.ar,,library,CABA
José Hernández,+54 11 4641-3673,no,biblioteca_josehernandez@buenosaires.gob.ar,,library,CABA
José Mármol,+54 11 4781-7871,no,biblioteca_marmol@buenosaires.gob.ar,,library,CABA
La Prensa,+54 11 4912-2701,no,biblioteca_laprensa@buenosaires.gob.ar,,library,CABA
Leopoldo Lugones,+54 11 4783-1567,no,biblioteca_lugones@buenosaires.gob.ar,,library,CABA
Manuel Gálvez,+54 11 4812-4723,no,biblioteca_galvez@buenosaires.gob.ar,,library,CABA
Mariano Pelliza,+54 11 4631-0961,no,biblioteca_pelliza@buenosaires.gob.ar,,library,CABA
Martín del Barco Centenera,+54 11 4381-1271,no,biblioteca_centenera@buenosaires.gob.ar,,library,CABA
Rafael Obligado,+54 11 4581-8640,no,biblioteca_obligado@buenosaires.gob.ar,,library,CABA
Rent A Sol,+54 11 4787-2140,no,,,car_rental,CABA
Pedro,+54 11 4546 0488,no,,https://www.pesprometeo.com/,seafood,CABA
Rincón norteño,+54 11 4571 7661,no,,,restaurant,CABA
Renatto Cucina Italiana,+54 11 5466 4668,no,,,restaurant,CABA
Banco Ciudad,+54 11 4854-0217,no,,https://www.bancociudad.com.ar/,bank,CABA
Kevingston,+54 11 4857-5495,no,,https://www.kevingston.com/,clothes,CABA
PC Time,+54 11 4857-1661,no,,https://www.pctime.com.ar/,computer,CABA
Alarcón Maniquíes,+54 11 4857-2168,no,,https://www.alarconmaniquies.com.ar/,clothes,CABA
Colombraro,+54 11 4858-1939,no,,https://www.colombraro.com.ar/,company,CABA
Michelin Performance Center,+54 11 4854-4850,no,,https://www.michelin.com.ar/,tyres,CABA
Marva,+54 11 4545-7874,no,,,laundry,CABA
Credicoop,+54 11 4854-5767,no,,https://www.bancocredicoop.coop/,bank,CABA
Los Amores,+54 11 4855-5452,no,,https://www.los-amores.com.ar/,ice_cream,CABA
Café Martínez,+54 11 4331-5582,no,av.demayo@cafemartinez.com.ar,https://www.cafemartinez.com/,cafe,CABA
Mangini,+54 11 4774-6981,no,,https://www.confiteriamangini.com.ar/,bakery,CABA
Granja Alfredo,+54 45450791,no,,,butcher,CABA
Carrefour,08004448484,no,,https://carrefour.com.ar/,supermarket,CABA
San Miguel,+54 11 4822-0777,no,,,cafe,CABA
Disco,+54 8107778888,no,,https://www.disco.com.ar/,supermarket,CABA
Ilulight,+54 11 4780-5937,no,,http://www.ilulightweb.com.ar,fast_food,CABA
Instituto Nuestra Señora del Huerto,+54 11 4571-7584,no,inshmos.medio@gmail.com,,school,CABA
Calzados Noss,+54 1148563337,no,,,shoes,CABA
"Geiser Eventos, Catering",+54 11 4671-8059,no,,https://www.fiestasinolvidables.com/geiser/,events_venue,CABA
Tonel Privado,+54 11 4771-8291,no,info@tonelprivado.com,https://www.tonelprivado.com/,wine,CABA
La Juvenil,+54 11 4771-2298,no,info@lajuvenilpastas.com.ar,https://www.lajuvenilpastas.com.ar/,pasta,CABA
Tienda de Café,+54 11 4587-2847,no,,https://www.tiendadecafe.com.ar/,cafe,CABA
Rp.,+54 11 64830999,no,,,pharmacy,CABA
Sebastián,+54 11 4806-4758,no,,http://www.sebastianonline.com.ar,pet,CABA
Jardín de Infantes Común 03/18° El Jardín de la Floresta,+54 11 4674-1576,no,dei_jic3_de18@bue.edu.ar,,kindergarten,CABA
Jardín de Infantes Nucleado C (EPCjc 11/18°),+54 11 4566-3586,no,jincde18@gmail.com,,kindergarten,CABA
Autoservicio Lo de Sebas,+54 11 2553-2597,no,,https://www.instagram.com/lodesebasl/,convenience,CABA
