empresa,cuit,telefono,localidad,provincia,tel_util
AMERICAN TELECOMMUNICATION  INCORPORATED ARGENTINA S.A.,30-70704848-0,(011  )4706-0317,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
AMERICAN TRACER S.A.,30-70781354-3,(011  )4014-0540,CABA,CIUDAD DE BUENOS AIRES,si
AMERICAN TRAFFIC S.A.,30-70095531-8,(011  )6570-9879,CABA,CIUDAD DE BUENOS AIRES,si
AMERICOM S.A.,30-69205596-5,(0221 )425 -6565,LA PLATA,BUENOS AIRES,si
AMERITEL S.A.,30-67859092-0,(011  )4331-0443,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
AMIAR SMART GRID S.A.S.,30-71588009-8,(0223 )495 -2500,MAR DEL PLATA,BUENOS AIRES,si
AMPO S.A.C.I.F.A.,30-50357798-0,(011  )4290-1033,MONTE GRANDE,BUENOS AIRES,si
AMTED S.R.L.,30-71490190-3,(011  )4092-7354,CABA,CIUDAD DE BUENOS AIRES,si
AMX ARGENTINA S.A.,30-66328849-7,(011  )4809-1000,CABA,CIUDAD DE BUENOS AIRES,si
ANALISTAS EMPRESARIOS S.R.L.,30-58782819-3,(011  )4812-4339,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ANCA AGRONEGOCIOS CONSULTORES ASOCIADOS SOCIEDAD DE RESPONSABILIDAD LIMITADA,30-67454396-0,,SANTA FE,SANTA FE,no
ANECTIS S.A.,33-70788937-9,(011  )5173-2600,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ANIXTER ARGENTINA S.A.,30-68247214-2,(011  )4909-5200,CABA,CIUDAD DE BUENOS AIRES,si
ANKER INNOVATIONS S.R.L.,30-71908941-7,(011  )2686-8586,CABA,CIUDAD DE BUENOS AIRES,si
ANTEMONT S.A.C.I.F.I.A.,30-56860285-0,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
ANTENA COLOR S.R.L.,30-58012707-6,(011  )4961-1846,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ANTENAS PROFESIONALES S.A.,30-62502328-5,,CARAPACHAY,BUENOS AIRES,no
ANTERRA TECHNOLOGIES S.A.,30-71052713-6,(011  )4342-2662,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
APEIRON IT S.R.L.,33-70841197-9,(011  )4954-2539,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
APPLE ARGENTINA S.A.,30-70722404-1,(011  )4766-5300,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
APPROVE - IT S.A.,30-71193155-0,(011  )4545-1155,CABA,CIUDAD DE BUENOS AIRES,si
APTOSOLUTIONS S.R.L.,30-70890907-2,(011  )5272-7101,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ARBELAIZ S.A.,30-56855470-8,(011  )4931-7051,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ARCOM GROUP S.R.L.,30-70839990-2,(011  )4313-8330,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ARGENPROM S.R.L.,30-68579313-6,(011  )4545-0400,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ARGENTRADE SOCIEDAD DE RESPONSABILIDAD LIMITADA,30-66010157-4,(0221 )471 -2323,MANUEL B GONNET,BUENOS AIRES,si
ARGUS COMMODITY S.R.L.,33-64367286-9,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
ARIEMA S.A.I.C.F.,30-51581796-0,(011  )4752-2067,SIN DENOMINACION,BUENOS AIRES,si
ARIMEX IMPORTADORA S.A.,30-54039667-8,,CABA,CIUDAD DE BUENOS AIRES,no
ARIMPEX S.R.L.,30-63898868-9,(011  )4313-6884,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ARKITEC S.A.,30-59651204-2,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
ARMAGALLI S.A.,30-60090755-3,(011  )4951-7953,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ARO SOCIEDAD ANONIMA,30-53562276-7,(011  )4331-4503,CABA,CIUDAD DE BUENOS AIRES,si
ARQ DESIGN S.A.,30-71184727-4,(011  )4264-8838,CABA,CIUDAD DE BUENOS AIRES,si
ARRIS DE ARGENTINA S.A.,30-71402446-5,(011  )5680-4925,VICENTE LOPEZ,BUENOS AIRES,si
ARS TECHNOLOGIES S.R.L.,33-70714904-9,(011  )4574-3666,CABA,CIUDAD DE BUENOS AIRES,si
ART IMPORT S.A.,30-63312041-9,(011  )4961-7690,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ARTS & FACTS S.A.,30-69232125-8,(011  )4315-3204,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ARTSANA ARGENTINA S.A.,30-56996481-0,(011  )4394-2882,CABA,CIUDAD DE BUENOS AIRES,si
ASAHI ARGENTINA S.A.,30-69799813-2,(011  )4582-6638,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ASCOM ARGENTINA S.A.,30-69934588-8,(011  )4700-0094,SAN ISIDRO,BUENOS AIRES,si
ASEAGRO S.R.L.,30-70850861-2,(0358 )470 -0505,RIO CUARTO,CORDOBA,si
ASENDU S.A.,30-70890047-4,(011  )4000-6322,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ASGA S.A.,30-70762834-7,(011  )4774-4144,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ASOCIACION CIVIL ALTERMUNDI,30-71498982-7,(011  )2388-8219,CABA,CIUDAD DE BUENOS AIRES,si
ASOCIACION MUTUAL REDES SOLIDARIAS,30-71125797-3,(011  )6022-4216,CABA,CIUDAD DE BUENOS AIRES,si
ATHUEL ELECTRONICA S.A.,30-59505891-7,(011  )6700-9481,RIO GRANDE,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",si
ATS ADVANCED TECHNOLOGY SOLUTIONS S.A.,30-64627917-4,(011  )6393-4345,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
AUDI TOTAL S.R.L.,30-63591934-1,(011  )4371-8956,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
AUDIOCODES ARGENTINA S.A.,30-70935338-8,(011  )5619-2242,CABA,CIUDAD DE BUENOS AIRES,si
AUDITRON S.A.,30-60265355-9,(011  )4380-2800,1089,CIUDAD DE BUENOS AIRES,si
AUDIVIC S.A.,30-59320856-3,(011  )4977-7801,CABA,CIUDAD DE BUENOS AIRES,si
"AUKALLOKA, LIDIA ELENA",27-13501655-7,(011  )4662-5180,CABA,CIUDAD DE BUENOS AIRES,si
AUMECON S.A.,30-70986084-0,(011  )4762-6331,MUNRO,BUENOS AIRES,si
AUMET S.A.,30-61714856-7,(011  )4983-4740,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
AUREAM ARBOR S.A.S.,30-71626883-3,(011  )6703-8614,CABA,CIUDAD DE BUENOS AIRES,si
AUTOMOVILES EXCLUSIVOS S.A.,30-58747650-5,(011  )4778-7111,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
AUTOSERVICIO MAYORISTA DIARCO S.A.,30-60737179-9,(011  )508 -2800,CIUDAD EVITA,BUENOS AIRES,si
AUTOTROL S.A.C.I.A.F.I.,30-50491371-2,(011  )4879-9800,CABA,CIUDAD DE BUENOS AIRES,si
AVAYA ARGENTINA S.R.L.,30-70723105-6,(011  )4118-4400,CABA,CIUDAD DE BUENOS AIRES,si
AVERA IMPORT S.A.,30-71931133-0,(02262)49  -4008,CABA,CIUDAD DE BUENOS AIRES,si
AVERY DENNISON DE ARGENTINA S.R.L.,30-62148209-9,(011  )4325-1774,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
AXIS COMMUNICATIONS DE ARGENTINA S.A.,30-71213057-8,(011  )4381-0220,CABA,CIUDAD DE BUENOS AIRES,si
AXSYS COMUNICACIONES DE ARGENTINA S.A.,30-66171344-1,(011  )5752-7264,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
AYDIN S.A.,30-71199185-5,(011  )4312-7788,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
B&G ELECTRONICA S.R.L.,00-00000868-0,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
B.H.S.D. S.A.,30-70220564-2,(011  )4952-7371,CABA,CIUDAD DE BUENOS AIRES,si
B.T.W. S.A.,30-68834322-0,(011  )5097-8689,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
BACIGALUPPI HERMANOS S.A.,30-55799098-0,(011  )4523-6000,CABA,CIUDAD DE BUENOS AIRES,si
BAIRESCO COMUNICACIONES Y COMPUTACION S.A.,30-64760832-5,(011  )4802-6017,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
BALLUFF ARGENTINA S.R.L.,30-71241355-3,(011  )2465-1720,CABA,CIUDAD DE BUENOS AIRES,si
"BANFI, ALEJANDRO DANIEL",20-16892826-3,(011  )4671-9269,CABA,CIUDAD DE BUENOS AIRES,si
"BARLOCO, SEBASTIAN DANIEL",20-22653449-1,(011  )6471-5024,FLORIDA OESTE,BUENOS AIRES,si
BASESIDE S.R.L.,30-70787057-1,(011  )4704-5570,CABA,CIUDAD DE BUENOS AIRES,si
BAX INGENIERIA ELECTRONICA S.R.L.,30-63760864-5,(0341 )437 -0955,ROSARIO,SANTA FE,si
BAXO S.A.,30-71236462-5,(011  )5017-0332,CABA,CIUDAD DE BUENOS AIRES,si
BAYER S.A.,30-50381106-1,(011  )4762-7000,CABA,CIUDAD DE BUENOS AIRES,si
BAZAR AVENIDA S.A.,30-53284754-7,(011  )4315-6014,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
BCD S.R.L.,30-61520790-6,(0341 )4342-3990,ROSARIO,SANTA FE,si
BDEV S.A.,30-71061587-6,(011  )2051-0253,CABA,CIUDAD DE BUENOS AIRES,si
BEEPOINT S.R.L.,30-71029470-0,(011  )5256-0953,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
BENQ ARGENTINA S.R.L.,33-70934401-9,(011  )4346-8996,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
BENSAN S.R.L.,30-71155464-1,(011  )4682-5050,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
BEREL S.A.I.C.,30-51567297-0,(011  )4942-0546,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
BGH SOCIEDAD ANONIMA,30-50361289-1,(011  )4309-2000,CABA,CIUDAD DE BUENOS AIRES,si
BGH TECH PARTNER S.A.,30-71129196-9,(011  )5080-7400,CABA,CIUDAD DE BUENOS AIRES,si
BIERING IMPORT & EXPORT S.A.,30-63557112-4,(011  )4322-6826,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
BIFOC BUENOS AIRES S.A.,30-70950093-3,(011  )4780-5182,CABA,CIUDAD DE BUENOS AIRES,si
BIO-OPTIC S.R.L.,30-71170641-7,(011  )5432-0175,FLORIDA,BUENOS AIRES,si
BIOMEDICA ARGENTINA S.A.,33-57613680-9,(011  )4343-9197,CABA,CIUDAD DE BUENOS AIRES,si
BIOMERIEUX ARGENTINA S.A.,30-69437643-2,(011  )5555-6843,CABA,CIUDAD DE BUENOS AIRES,si
BIOTRONIK ARGENTINA S.R.L.,30-71501383-1,(011  )4343-9197,CABA,CIUDAD DE BUENOS AIRES,si
BISAGRA O.H. SOCIEDAD ANONIMA,30-52039676-0,(011  )4203-5172,SARANDI,BUENOS AIRES,si
BLACK & DECKER ARGENTINA S.A.,33-65861596-9,(011  )4846-6100,CABA,CIUDAD DE BUENOS AIRES,si
BLACKROCK MOTORS S.A.,30-71222286-3,(011  )4404-9940,CABA,CIUDAD DE BUENOS AIRES,si
BLINK S.R.L.,30-71087545-2,,CABA,CIUDAD DE BUENOS AIRES,no
BLU CORP S.A.,30-71532916-2,(011  )3512-0937,CABA,CIUDAD DE BUENOS AIRES,si
BMW DE ARGENTINA S.A.,30-68296346-4,(011  )6970-9585,CABA,CIUDAD DE BUENOS AIRES,si
BOARDS S.A.,30-62433327-2,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
BODY GROUP FELIX S.R.L.,30-70827046-2,(011  )4932-3024,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S.A.,33-50335714-9,(011  )4704-8600,MUNRO,BUENOS AIRES,si
BOIS MARIO JUAN Y BOIS OMAR PEDRO S.H.,30-68610621-3,(011  )4862-7358,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
"BOLZAN, SERGIO MARCELO",20-20830725-9,(011  )3755-4369,CABA,CIUDAD DE BUENOS AIRES,si
BOMBAS GOULDS S.A.,33-70179668-9,(011  )4756-8008,CABA,CIUDAD DE BUENOS AIRES,si
BOMBAS GRUNDFOS DE ARGENTINA S.A.U.,30-68249876-1,(03327)41  -4444,GARIN,BUENOS AIRES,si
"BOMBINO, ALDO RAUL",20-26118647-1,(011  )5353-9208,SAN FERNANDO,BUENOS AIRES,si
BONTEY S.A.,30-70927255-8,(011  )5647-2035,CABA,CIUDAD DE BUENOS AIRES,si
"BONTTI, HORACIO GUILLERMO JUAN",20-10099793-3,(0221 )479 -3858,LA PLATA,BUENOS AIRES,si
BOREAL SOLUTIONS S.A.,30-70724883-8,(011  )5353-0303,CABA,CIUDAD DE BUENOS AIRES,si
BOREAL TECHNOLOGIES S.A.,30-70819410-3,(011  )5353-0303,CABA,CIUDAD DE BUENOS AIRES,si
"BORRONI, JULIO VICTOR",20-07080538-4,,BAHIA BLANCA,BUENOS AIRES,no
BOSCH REXROTH S.A.I.C.,30-50349465-1,(011  )4756-0240,CABA,CIUDAD DE BUENOS AIRES,si
BOSCH SISTEMAS DE SEGURIDAD ARGENTINA S.R.L.,30-70553550-3,,GENERAL SAN MARTIN,BUENOS AIRES,no
"BOSSERO, RICARDO SIXTO JOSE",20-02301047-0,(011  )4294-3836,ALMIRANTE BROWN,BUENOS AIRES,si
BOSTON SCIENTIFIC ARGENTINA S.A.,30-68732985-2,(011  )7090-0200,CABA,CIUDAD DE BUENOS AIRES,si
BPAR S.A.,30-70823997-2,(011  )4308-4731,CABA,CIUDAD DE BUENOS AIRES,si
"BRACCO, EDUARDO TORCUATO",20-05950511-5,(011  )5410-2461,CABA,CIUDAD DE BUENOS AIRES,si
BRAIN4 S.A.,30-71601432-7,(011  )3100-1060,CABA,CIUDAD DE BUENOS AIRES,si
"BRAUN, MARTA ESTELA",27-05258271-2,(0351 )456 -8263,CORDOBA,CORDOBA,si
"BREA, ALBERTO",20-04546993-0,(0345 )421 -9291,CONCORDIA,ENTRE RIOS,si
BREYER HNOS S.A.,30-50100033-3,(011  )4373-3484,CABA,CIUDAD DE BUENOS AIRES,si
BRIGHTSTAR ARGENTINA S.A.,30-70703512-5,(011  )4016-8100,CABA,CIUDAD DE BUENOS AIRES,si
BRIGHTSTAR FUEGUINA S.A.,30-70857479-8,(011  )5238-8031,RIO GRANDE,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",si
BROTHER INTERNACIONAL DE CHILE LIMITADA SUCURSAL ARGENTINA,30-69224304-4,(011  )4585-9471,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
BROTHER INTERNATIONAL CORPORATION DE ARGENTINA S.R.L.,30-70804923-5,(011  )4828-5435,CABA,CIUDAD DE BUENOS AIRES,si
BRUNO HERMANOS S.A.,30-58220225-3,,CABA,CIUDAD DE BUENOS AIRES,no
BRUNO SCHILLIG S.A.,30-70816156-6,(011  )4730-1100,PILAR,BUENOS AIRES,si
BRUNO SCHILLIG S.R.L.,30-51975955-8,(011  )4730-1106,FLORIDA OESTE,BUENOS AIRES,si
BSA S.A.,30-59703042-4,(011  )4964-7700,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
BUCCELLO Y ASOCIADOS S.R.L.,30-59722829-1,(011  )4711-6194,CABA,CIUDAD DE BUENOS AIRES,si
BUENOS AIRES HIGH SECURITY S.R.L.,30-71079363-4,(011  )4325-1606,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
BUENOS AIRES TECHNOLOGIES S.A.,33-70802884-9,(011  )4458-5836,CABA,CIUDAD DE BUENOS AIRES,si
BVS TELEVISION S.R.L.,30-70933935-0,(011  )5282-6400,CABA,CIUDAD DE BUENOS AIRES,si
BVS TV S.A.,33-71101535-9,(011  )4958-5132,CABA,CIUDAD DE BUENOS AIRES,si
BYD AUTO ARGENTINA S.A.U.,30-71909809-2,(011  )3285-8283,CABA,CIUDAD DE BUENOS AIRES,si
BYD AUTO INDUSTRY S.A.,30-71534195-2,(011  )5509-1831,CABA,CIUDAD DE BUENOS AIRES,si
BYSOFT S.A.,30-70978904-6,(011  )4712-7982,VILLA LINCH,BUENOS AIRES,si
C C AGRO & TEC S.A.,30-71087919-9,(011  )5806-8995,CABA,CIUDAD DE BUENOS AIRES,si
C Y T COMUNICACIONES Y TELEMATICA S.R.L.,30-63824791-3,(011  )4326-9347,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
C.E.A. S.A.,30-71100971-6,,MAR DEL PLATA,BUENOS AIRES,no
CABLE CONECTORES Y SERVICIOS DE TELECOMUNICACIONES S.R.L.,30-70804788-7,(011  )2581-1010,CABA,CIUDAD DE BUENOS AIRES,si
CABLEVISION S.A.,30-57365208-4,,CABA,CIUDAD DE BUENOS AIRES,no
CACE S.R.L.,30-69118438-9,(011  )4382-3909,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
CAE SISTEMAS S.R.L.,30-71198744-0,(011  )5042-7836,LOMAS DEL MIRADOR,BUENOS AIRES,si
CALA MED ARGENTINA S.R.L.,30-71700461-9,(011  )5703-1897,CABA,CIUDAD DE BUENOS AIRES,si
CALIDAD DIGITAL S.R.L.,30-71129995-1,(011  )6795-1025,CABA,CIUDAD DE BUENOS AIRES,si
CALL CARE S.A.,30-70708465-7,(011  )6582-6198,CABA,CIUDAD DE BUENOS AIRES,si
CAMALO GROUP S.R.L.,30-70975054-9,(011  )5696-0724,CABA,CIUDAD DE BUENOS AIRES,si
CAMBIUM NETWORKS S.R.L.,30-71211284-7,,CABA,CIUDAD DE BUENOS AIRES,no
CAMIMPORT S.R.L.,30-64086932-8,(0341 )431 -8717,ROSARIO,SANTA FE,si
CANON ARGENTINA S.A.,30-52030624-9,(011  )5554-9884,CABA,CIUDAD DE BUENOS AIRES,si
CANON MEDICAL SYSTEMS ARGENTINA S.A.,30-71600236-1,(011  )4403-2015,CABA,CIUDAD DE BUENOS AIRES,si
CAR MULTIMEDIA S.R.L.,30-71405892-0,(011  )5041-8901,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
