pais,empresa,ciudad,email
AR,Liceo 01 José Figueroa Alcorta,Caba,liceo1de2@gmail.com
AR,Carlos Guido y Spano,Caba,biblioteca_guidoyspano@buenosaires.gob.ar
AR,Librería Biblos,Caba,bibloscolegiales@gmail.com
AR,Jardín de Infantes Nucleado B (EPCjs 12/20°),Caba,dei_jinb8_de20@bue.edu.ar
AR,Jardín de Infantes Integral 04/09°,Caba,jardinparaguay@hotmail.com
AR,Jardín de Infantes Nucleado C (EPCjs 03/02°),Caba,jincde02@yahoo.com.ar
AR,Escuela Primaria N* 14,Caba,infanteriargentina14@hotmail.com
AR,Instituto R. P. Hansen,Caba,infoprimaria@institutohansen.com.ar
AR,Jardín de Infantes Nucleado A (EPCjc 03/17°) Alicia Moreau de Justo,Caba,jinade17@gmail.com
AR,Instituto María Auxiliadora,Caba,cma131@yahoo.com.ar
AR,Jardín de Infantes Nucleado B - Mariano Sánchez de Loria,Caba,dei_jinb14_de18@bue.edu.ar
AR,Escuela Normal Superior 08 Presidente Julio Argentino Roca (anexo),Caba,ens8_mtprosecretaria@bue.edu.ar
AR,Ventas IGN,Caba,ventas@ign.gob.ar
AR,Montecarlo,Caba,barcafemontecarlo@gmail.com
AR,Tea Connection,Caba,vueltadeobligado@teaconnection.com.ar
AR,Romario,Caba,info@romario.com.ar
AR,Jardín de Infantes Nucleado A (EPCjs 21/11°) Baldomero Fernández Moreno,Caba,jardindeinfantesnucleadosa@gmail.com
AR,La Casa de la Computadora,Caba,info@casadelacomputadora.com.ar
AR,1810,Caba,1810centro@gmail.com
AR,Escuela Nº 10 Doctor Ricardo Gutierrez,Caba,diezprimaria@gmail.com
AR,Jardín de Infantes Nucleado B (EPCjc 10/19°),Caba,jinbde19@yahoo.com.ar
AR,Jardín de Infantes Nucleado D (EPCjs 09/12°),Caba,jinddistrito12@gmail.com
AR,Jardín de Infantes Común 01/13°,Caba,jic01de13@yahoo.com.ar
AR,Escuela Primaria Común 11 Antonio J. Bucich,Caba,dep_epc11_de4@bue.edu.ar
AR,Escuela Normal Superior 02 en Lenguas Vivas Mariano Acosta,Caba,ens2acosta@bue.edu.ar
AR,Instituto Elisa Harilaos,Caba,colegioelisaharilaos@gmail.com
AR,Jardín de Infantes Nucleado D (EPCjs 24/17°) Victoria Ocampo,Caba,jind172009@gmail.com
AR,Escuela Primaria Común 20 Nieves Escalada de Oromi,Caba,dep_epc20_de5@bue.edu.ar
AR,Jardín de Infantes Integral 03/11°,Caba,dei_jii3_de11@bue.edu.ar
AR,Jardín de Infantes Nucleado A (EPCjs 07/05°) (Sede),Caba,jinacinco@yahoo.com.ar
AR,Jardín de Infantes Nucleado C (EPCjs 17/12°),Caba,jincjardin@yahoo.com.ar
AR,Café Martínez,Caba,cmlautaro402@cafemartinez.com.ar
AR,Jardín de Infantes Nucleado C (EPCjc 03/14°) [Sede],Caba,jincde1405@gmail.com
AR,Jardín de Infantes Nucleado C (EPCjs 04/10°),Caba,jincde10@yahoo.com.ar
AR,Escuela Primaria p/Adultos 18 Cabildo de Buenos Aires,Caba,deaa_ep18de14@bue.edu.ar
AR,Pani,Caba,deli@pani.com.ar
AR,Instituto Santísima Virgen Niña,Caba,replegalisun@virgennina.org.ar
AR,Temple Craft Soho,Caba,hola@thetemplebar.com.ar
AR,Mostaza,Caba,devoto@mostazaweb.com.ar
AR,Instituto Puertas de Sión,Caba,escuela@shaaresion.org.ar
AR,Escuela Primaria Común 23 Provincia de Entre Rios,Caba,escuela23distrito6@gmail.com
AR,Jardín de Infantes Nucleado D (EPCjc 19/02°),Caba,jind2@yahoo.com.ar
AR,Escuela Primaria Común 02 José Maria Gutiérrez,Caba,dep_epc2_de6@bue.edu.ar
AR,Escuela Técnica 32 Gral. José de San Martín,Caba,det_32_de14@bue.edu.ar
AR,Café Palacio,Caba,museosimik@gmail.com
AR,Instituto Esteban Agustín Gascón,Caba,contacto@institutogascon.com.ar
AR,Escuela de Comercio 26 Enrique de Vedia,Caba,com26de1@buenosaires.edu.ar
AR,Instituto Incorporado Colectividad Helénica,Caba,helenico_a_814@yahoo.com.ar
AR,Jardín de Infantes Nucleado B (EPCjs 14/10°) [Sede],Caba,jinbde10cap@yahoo.com.ar
AR,MegaCar,Caba,info@megacar.com.ar
AR,"La Abadía, Centro de Arte y Estudios Latinoamericanos",Caba,info@laabadia.org
AR,Intanto,Caba,catering@intanto.com.ar
AR,Café Martínez,Caba,cmbelgrano1775@cafemartinez.com.ar
AR,Defu The Tofu Co.,Caba,sanfu.ar@gmail.com
AR,Le Blé,Caba,arredondo@leble.com.ar
AR,Instituto Privado San Martín de los Campos (sede),Caba,secundaria@st-martin.edu.ar
AR,Maru Botana,Caba,11deseptiembre@marubotana.com
AR,Escuela Primaria Común 05 Juan B. Peña,Caba,esc5de7@yahoo.com.ar
AR,Escuela Primaria Común 06 Doctor Guillermo Correa,Caba,dep_epc6_de6@bue.edu.ar
AR,Escuela Primaria Común 05 Albina García de Ryan,Caba,dep_epc5_de11@bue.edu.ar
AR,Maury,Caba,info@ferreteriamaury.com.ar
AR,Premium Baby Company,Caba,info@babycompany.com.ar
AR,Power and Shine,Caba,info@powerandshine.com
AR,Escuela Primaria Común 07 Olegario Víctor Andrade,Caba,dep_epc7_de6@bue.edu.ar
AR,Dulce Buenos Aires,Caba,info@dulcebuenosaires.com
AR,The Temple Bar,Caba,recoleta@thetemplebar.com.ar
AR,Escuela Primaria Común 04 Salvador María del Carril,Caba,dep_epc4_de6@bue.edu.ar
AR,Class Optical,Caba,classoptical@hotmail.com
AR,El Buen Amigo,Caba,elbuenamigo@fibertel.com.ar
AR,Instituto de Enseñanza Superior en Lenguas Vivas Juan B. Justo (sede),Caba,jbjusto@bue.edu.ar
AR,Embajada de Colombia,Caba,ebaires@cancilleria.gov.co
AR,PrintaLot La Central,Caba,info@printalot.com.ar
AR,La Mar,Caba,info@lamarcebicheria.com.ar
AR,Le Pain Quotidien,Caba,contacto@bardumarchepalermo.com
AR,Tilo - Artesanía & Diseño,Caba,tiloartesanias@gmail.com
AR,Embajada de India,Caba,frontdesk@indembarg.org.ar
AR,Dulsisa,Caba,dulsisa@hotmail.com
AR,La Panera Rosa,Caba,borges@lapanerarosa.com.ar
AR,Centro Montañés - Casa de Cantabria,Caba,casadecantabria@casadecantabria.com.ar
AR,Alra (repuestos y Servicio),Caba,taller2@alravw.com
AR,Escuela Primaria Común 01 Tomasa de la Quintana de Escalada,Caba,dep_epc1_de7@bue.edu.ar
AR,Escuela Primaria p/Adultos 22 Santa María de los Buenos Aires,Caba,prim.adultos22de13@gmail.com
AR,Jardín de Infantes Nucleado C (EPCjc 20/20°),Caba,jincde20@gmail.com
AR,Escuela Primaria Común 05 Paul Groussac,Caba,dep_epc5_de6@bue.edu.ar
AR,Café Martínez,Caba,juramento@cafemartinez.com.ar
AR,Lozada viajes,Caba,recoleta@lozadaviajes.com
AR,Instituto Lange Ley,Caba,info@langeley.Escuelaedu.ar
AR,Gran Parrilla del Plata,Caba,info@parilladelplata.com
AR,Siete Spirits,Caba,consultas@sietespirits.com
AR,Polo Cel,Caba,ventas@polocel.com.ar
AR,Programa Ibicuy,Caba,info@ibicuy.com
AR,Embajada de Suiza,Caba,bue.vertretung@eda.admin.ch
AR,ABM - Instituto de educación superior A-793,Caba,abmbiblioteca@fibertel.com.ar
AR,Café Martínez,Caba,cerrito1264@cafemartinez.com.ar
AR,Dirección Nacional del Antártico,Caba,info@dna.gob.ar
AR,Escuela Alamos,Caba,alamosescuela@live.com.ar
AR,Tea Connection,Caba,conde@teaconnection.com.ar
AR,Oppel,Caba,belgranor@oppel.com.ar
AR,Enamorada del muro,Caba,info@enamoradadelmuro.com
AR,Maru Botana,Caba,echeverria@marubotana.com
AR,Sergio Arias,Caba,ventas@sergioarias.com.ar
AR,Talleres Álvarez,Caba,talleresalvarez@hotmail.com
AR,Mega Station,Caba,megastationsrl@gmail.com
AR,Crisol,Caba,info@crisolweb.com.ar
AR,ALOT,Caba,elcano@staples.com.ar
AR,Briomaq,Caba,briomaq@briomaq.com
AR,Instituto Hogar de Niños Ramón L. Falcón,Caba,irfalcon@fibertel.com.ar
AR,Escuela Primaria Común 02 Florencio Varela,Caba,dep_epc2_de12@bue.edu.ar
AR,The Roxy Live!,Caba,info@roxylive.com.ar
AR,Org tech,Caba,galloguillermo@hotmail.com
AR,Ascorti,Caba,info@libreriaascorti.com.ar
AR,Compañia de Juguetes,Caba,belgranor@companiadejuguetes.com
AR,Piero,Caba,belgrano@dormipiero.com.ar
AR,Banco CMF SA,Caba,cbaez@cmfb.com.ar
AR,Embajada de Bélgica,Caba,buenosaires@diplobel.fed.be
AR,Embajada del Reino de los Países Bajos en Buenos Aires,Caba,bue@minbuza.nl
AR,Embajada de Bolivia,Caba,secretaria@embajadadebolivia.com.ar
AR,Embajada de República Democrática del Congo,Caba,rdcbuenos@hotmail.com
AR,Embajada de Costa Rica,Caba,embcr-ar@rree.go.cr
AR,telisatel service,Caba,telisatel@msn.com
AR,Embajada de Dinamarca,Caba,bueamb@um.dk
AR,Embajada de la República Dominicana,Caba,embajada@embajadadominicana.com.ar
AR,LUBRICENTRO JAR,Caba,info@lubricentrojar.com.ar
AR,Espacio Placer,Caba,espacioplacer@espacioplacer.com.ar
AR,Embajada de El Salvador,Caba,consulta_comunicaciones@rree.gob.sv
AR,Embajada de Eslovenia,Caba,vba@gov.si
AR,Embajada de Finlandia,Caba,sanomat.bue@formin.fi
AR,Comedor Universitario,Cordoba,comedor@bienestar.unc.edu.ar
AR,mini Super,Cordoba,minisuperas@gmail.com
AR,Café Martínez,Cordoba,cordoba@cafemartinez.com.ar
AR,ESCUELA PROVINCIA DE FORMOSA,Cordoba,primariaformosa@hotmail.com.ar
AR,Consulado de Francia,Cordoba,sonzini@arnet.com.ar
AR,Quimica Halac,Cordoba,info@quimicahalac.com.ar
AR,Área de Formación Docente y Producción Educativa,Cordoba,edudis@eco.unc.edu.ar
AR,Marozzi distribuidora,Cordoba,ventas@bateriasmarozzi.com.ar
AR,Capilla Santa Teresita,Cordoba,vicariasantateresita@gmail.com
AR,Fabrica Pc,Cordoba,rvlevet@gmail.com
AR,Gestor de Cordoba. Autos. Motos. Gonzalo 3512205097,Cordoba,santinogigena@gmail.com
AR,ATLARES Crowdfunding Bitcoin & Networking,Cordoba,info@atlares.com
AR,Deportes Iguazu,Cordoba,deportesiguazu@gmail.com
AR,Instituto Privado Deán Funes,Cordoba,info@institutodeanfunes.edu.com
AR,Poeta Soho,Cordoba,poetasoho@gmail.com
AR,Puente de Estrellas,Cordoba,puentedeestrellas.micael@gmail.com
AR,Catalina Calzados,Cordoba,catalinacalzados@outlook.com.ar
AR,Chevromaxs,Cordoba,chevromaxs@gmail.com
AR,Parroquia Nuestra Señora del Carmen,Cordoba,pquiantrasenoradelcarmen@gmail.com
AR,Farmacia Pedernera,Cordoba,pedernerafarmacia@gmail.com
AR,Virmanic SA,Cordoba,jvalles@virmanicsa.com
AR,Librería Blackpool,Cordoba,blackpool@arnet.com.ar
AR,Venex Computacion,Cordoba,consultas@venexcomputacion.com
AR,Paseo La Toscana,Cordoba,administracion@paseolatoscana.com
AR,Las 2 Hermanas,Cordoba,librerialasdoshermanas@gmail.com
AR,InfoNegocios,Cordoba,correo@infonegocios.info
AR,Imprenta Arguello,Cordoba,laimprenta.arguello@gmail.com
AR,Olmedo Odontología & Estética,Cordoba,odontologiayestetica.cba@gmail.com
AR,Roma Motos,Cordoba,info@romamotos.com.ar
AR,Szumik,Cordoba,info@szumik.com.ar
AR,Maestre,Cordoba,info@maestreiluminacion.com.ar
AR,RentAuto Atgentina,Cordoba,info@rentautoargentina.com.ar
AR,Torralba,Cordoba,info@torralba.com.ar
AR,Delivery Paint,Cordoba,deliverypaint@gmail.com
AR,Megatone,Cordoba,atencionalcliente@megatone.net
AR,Alquiler Auto Aero-Cordoba,Cordoba,info@alquilerautocordoba.com.ar
AR,El Espejo Libros,Cordoba,espejoventas@elespejolibros.com.ar
AR,OlmedoOdontologia,Cordoba,Consultorioolmedo@hotmail.com
AR,BAfarma - Farmacia Bosque Alvarez,Cordoba,contacto@bafarma.com
AR,Service Impresoras,Cordoba,simpresoras@gmail.com
AR,Banco de Sangre – Instituto de Hematología y Hemoterapia  (UNC),Cordoba,direccionmedica@ihh.unc.edu.ar
AR,Biblioteca Mayor - Universidad Nacional de Córdoba,Cordoba,info@bmayor.unc.edu.ar
AR,Unifit,Cordoba,hola@unifit.ar
AR,Luminotecnia,Cordoba,info@luminotecnia.com.ar
AR,Hospital Veterinario Córdoba,Cordoba,hospitalveterinariocba@gmail.com
AR,Tienda Florencia,Cordoba,florenciagrowshop@gmail.com
